ip,latitude,longitude,frequency
169.55.60.191,41.3891,2.1606,1
74.208.236.222,39.952,-75.1814,1
1.1.1.0,37.751,-97.822,1
185.125.84.39,38.894,-77.0365,1
192.124.249.165,41.5548,-87.6593,1
192.124.249.12,33.6637,-117.1743,1
192.124.249.55,33.6637,-117.1743,1
45.63.51.94,44.5399,-123.2807,1
75.75.75.75,39.9663,-74.8103,1
185.199.109.153,37.7642,-122.3993,1
192.124.249.54,43.879,-79.2638,1
46.105.173.2,41.387,2.1701,1
188.165.4.35,48.8323,2.4075,1
51.91.236.193,48.8323,2.4075,1
185.199.108.154,33.3555,-86.8274,1
75.75.76.76,44.5363,-73.197,1
87.98.239.18,51.1286,17.0574,1
94.198.51.252,55.7482,37.6177,1
157.185.177.205,34.1483,-118.0016,1
192.124.249.111,33.6637,-117.1743,1
192.124.249.69,34.0544,-118.244,1
137.74.175.105,50.6974,3.178,1
188.165.6.81,48.8323,2.4075,1
91.134.184.216,43.3646,-2.9921,1
192.124.249.68,33.6637,-117.1743,1
87.98.239.19,50.3265,19.1366,1
74.208.236.104,39.9544,-75.1657,1
157.185.146.132,34.1504,-117.9974,1
1.1.1.1,"","",1
213.186.33.87,47.9531,1.871,1
109.200.30.123,51.5088,-0.093,1
152.195.19.97,37.3313,-121.8401,1
192.124.249.13,34.0544,-118.244,1
46.105.57.169,48.9067,2.3339,1
216.239.36.21,37.3891,-122.0867,1
9.9.9.9,37.8767,-122.2676,1
195.42.179.202,51.2993,9.491,1
91.224.182.75,55.7386,37.6068,1
23.91.100.25,37.751,-97.822,1
192.124.249.168,33.6637,-117.1743,1
94.23.85.44,40.4327,-3.701,1
185.230.60.177,34.728,-86.5879,1
5.2.193.201,46.7657,23.5943,1
01.1.01.1,"","",1
167.114.64.93,36.2155,-85.5426,1
192.124.249.169,41.5548,-87.6593,1
23.215.131.118,40.7123,-74.0068,1
74.208.236.116,39.9544,-75.1657,1
202.181.97.86,35.6897,139.6895,1
176.58.121.177,51.5074,-0.1196,1
144.202.121.115,34.0544,-118.244,1
192.99.21.77,43.6319,-79.3716,1
